"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;24;6;4;88;32;78;92.24;27.41;82
2;"Borussia Dortmund";34;23;7;4;81;44;76;64.99;42.88;62.85
3;"RasenBallsport Leipzig";34;19;9;6;63;29;66;68.25;39.65;63.06
4;"Bayer Leverkusen";34;18;4;12;69;52;58;61.49;45.71;57.4
5;"Borussia M.Gladbach";34;16;7;11;55;42;55;54.93;52.87;51.38
6;"Wolfsburg";34;16;7;11;62;50;55;49.49;49.84;47.04
7;"Eintracht Frankfurt";34;15;9;10;60;48;54;61.84;51.02;54.38
8;"Werder Bremen";34;14;11;9;58;49;53;49.36;56.71;44.36
9;"Hoffenheim";34;13;12;9;70;52;51;79.95;53.29;62.96
10;"Fortuna Duesseldorf";34;13;5;16;49;65;44;49.47;63.06;39.21
11;"Hertha Berlin";34;11;10;13;49;57;43;50.52;61.58;41.95
12;"Mainz 05";34;12;7;15;46;57;43;49.21;62.8;39.34
13;"Freiburg";34;8;12;14;46;61;36;41.23;61.43;35.67
14;"Schalke 04";34;8;9;17;37;55;33;46.62;51.94;44.16
15;"Augsburg";34;8;8;18;51;71;32;47.44;63.79;37.08
16;"VfB Stuttgart";34;7;7;20;32;70;28;37.38;62.7;31.99
17;"Hannover 96";34;5;6;23;31;71;21;34.81;73.12;25.21
18;"Nuernberg";34;3;10;21;26;68;19;35.37;54.8;35.12
